,startBlock,endBlock,badOperatorCount,badContractCount
359,4278706,4279706,0,0
360,4279706,4280706,0,0
361,4280706,4281706,0,0
362,4281706,4282706,0,0
363,4282706,4283706,0,0
364,4283706,4284706,0,0
365,4284706,4285706,0,0
366,4285706,4286706,0,0
367,4286706,4287706,0,0
368,4287706,4288706,0,0
369,4288706,4289706,0,0
370,4289706,4290706,0,0
371,4290706,4291706,0,0
372,4291706,4292706,0,0
373,4292706,4293706,0,0
374,4293706,4294706,0,0
375,4294706,4295706,0,0
376,4295706,4296706,0,0
377,4296706,4297706,0,0
378,4297706,4298706,0,0
379,4298706,4299706,0,0
380,4299706,4300706,0,0
381,4300706,4301706,0,0
382,4301706,4302706,0,0
383,4302706,4303706,0,0
384,4303706,4304706,0,0
385,4304706,4305706,0,0
386,4305706,4306706,0,0
387,4306706,4307706,0,0
388,4307706,4308706,0,0
389,4308706,4309706,0,0
390,4309706,4310706,0,0
391,4310706,4311706,0,0
392,4311706,4312706,0,0
393,4312706,4313706,0,0
394,4313706,4314706,0,0
395,4314706,4315706,0,0
396,4315706,4316706,0,0
397,4316706,4317706,0,0
398,4317706,4318706,0,0
399,4318706,4319706,0,0
400,4319706,4320706,0,0
401,4320706,4321706,0,0
402,4321706,4322706,0,0
403,4322706,4323706,0,0
404,4323706,4324706,0,0
405,4324706,4325706,0,0
406,4325706,4326706,0,0
407,4326706,4327706,0,0
408,4327706,4328706,0,0
409,4328706,4329706,0,0
410,4329706,4330706,0,0
411,4330706,4331706,0,0
412,4331706,4332706,0,0
413,4332706,4333706,0,0
414,4333706,4334706,0,0
415,4334706,4335706,0,0
416,4335706,4336706,0,0
417,4336706,4337706,0,0
418,4337706,4338706,0,0
419,4338706,4339706,0,0
420,4339706,4340706,0,0
421,4340706,4341706,0,0
422,4341706,4342706,0,0
423,4342706,4343706,0,0
424,4343706,4344706,0,0
425,4344706,4345706,0,0
426,4345706,4346706,0,0
427,4346706,4347706,0,0
428,4347706,4348706,0,0
429,4348706,4349706,0,0
430,4349706,4350706,0,0
431,4350706,4351706,0,0
432,4351706,4352706,0,0
433,4352706,4353706,0,0
434,4353706,4354706,0,0
435,4354706,4355706,0,0
436,4355706,4356706,0,0
437,4356706,4357706,0,0
438,4357706,4358706,0,0
439,4358706,4359706,0,0
440,4359706,4360706,0,0
441,4360706,4361706,0,0
442,4361706,4362706,0,0
443,4362706,4363706,0,0
444,4363706,4364706,0,0
445,4364706,4365706,0,0
446,4365706,4366706,0,0
447,4366706,4367706,0,0
448,4367706,4368706,0,0
449,4368706,4369706,0,0
450,4369706,4370706,0,0
451,4370706,4371706,0,0
452,4371706,4372706,0,0
453,4372706,4373706,0,0
454,4373706,4374706,0,0
455,4374706,4375706,0,0
456,4375706,4376706,0,0
457,4376706,4377706,0,0
458,4377706,4378706,0,0
459,4378706,4379706,0,0
460,4379706,4380706,0,0
461,4380706,4381706,0,0
462,4381706,4382706,0,0
463,4382706,4383706,0,0
464,4383706,4384706,0,0
465,4384706,4385706,0,0
466,4385706,4386706,0,0
