Design	to	image	projectLogo	id	date	collectionAddress	createdBy	media	background_color	Marketing	project	addresses	image_ipfs	yearCreated	attributes	google_image	home_url	collection_name	owner	artDesc	values	sealed	totalValue	tokenId	artist	Development	collection	transparent_image	live	fee_recipient	ipfs_image	website	youtube_url	high_quality_image	name	external_url	platform	hash	dynamic	compiler	thumbnail_url	maxTokens	private	probability	network	dropVersion	tokenHash	claimedBy	signature	seller_fee_basis_points	edition	dapp	is_dynamic	origDescription	tags	token_id	rewrites	state	nonce	transparent_animation_url	dailyYield	description	success	imageHash	image_url	ipfs	image_medium	curation_status	year	rarity	status	dna	transparent_staked_url	license	image_small	animation_url	image_large	ownedImage
		ipfs://QmaTbcEmoGoa2HvZwEdSmV8i4d1PRWmpD3BU1QiJ97ZATr/10001.jpg													trait_type,value												0x65C234D041F9ef96e2F126263727dfa582206d82								Rabbitar #10001																											The Playbo																
		ipfs://QmaTbcEmoGoa2HvZwEdSmV8i4d1PRWmpD3BU1QiJ97ZATr/10001.jpg													trait_type,value												0x65C234D041F9ef96e2F126263727dfa582206d82								Rabbitar #10001																											The Playbo																
		ipfs://QmaTbcEmoGoa2HvZwEdSmV8i4d1PRWmpD3BU1QiJ97ZATr/01001.jpg													trait_type,value												0x65C234D041F9ef96e2F126263727dfa582206d82								Rabbitar #1001																											The Playbo																
		https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/icons/18092.png													trait_type,value												0xE6eF513F7429D92cb54eBD4C14026aEb90849A78								ITFK Legendary 18092																																									https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/18092.mp4		
		https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/icons/12392.png													trait_type,value												0xE6eF513F7429D92cb54eBD4C14026aEb90849A78								ITFK Relentless 12392																																									https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/relentless/12392.mp4		
		https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/icons/12942.png													trait_type,value												0xE6eF513F7429D92cb54eBD4C14026aEb90849A78								ITFK Legendary 12942																																									https://storage.googleapis.com/6fec357fd03a49559b39557a2552f775/12942.mp4		
		https://portal.forgottenrunes.com/api/souls/img/10							000000						trait_type,value												0x251b5F14A825C537ff788604eA1b58e49b70726f								Lewd Revenant Edge Arcanist Artchick																																											
		https://portal.forgottenrunes.com/api/souls/img/1013							09071B						trait_type,value												0x251b5F14A825C537ff788604eA1b58e49b70726f								Grave Robbing Kobold Yookoo of Dread Tower																																											
		https://portal.forgottenrunes.com/api/souls/img/1046							09071B						trait_type,value												0x251b5F14A825C537ff788604eA1b58e49b70726f								Horned Phantasm Artis of the Gloom																																											
		ipfs://QmZVXs27Z1c4QocXKXDNyMzbdMSAad4dJqK1os2hJ2q47z			1635712945808										trait_type,value												0xfCD433977292F107AaC6E30e7712D0E38eeb4a7c								StickDix #100																											Collection										78c810108b59aa700a16494bc14adc6523d5673c						
		ipfs://QmeYWm9Jabf9F9dKwJZcL7vT2oW4AEu3W8kwdafDgtWuVD			1635713742445										trait_type,value												0xfCD433977292F107AaC6E30e7712D0E38eeb4a7c								StickDix #101																											Collection										e8dcd8efdf5fd2ae464a8e9ca75df8f4f1ecd780						
		ipfs://QmY8BYDXkUkUairF4a7jhYyLgD5W3Qy6FwegPyc2WznEU6			1635715759219										trait_type,value												0xfCD433977292F107AaC6E30e7712D0E38eeb4a7c								StickDix #1013																											Collection										365dd19f73ceea73bed4b465289cf950d8d66abf						
																											0x45DB714f24f5A313569c41683047f1d49e78Ba07																																																			
																											0x45DB714f24f5A313569c41683047f1d49e78Ba07																																																			
		https://ipfs.io/ipfs/QmTRcRXo6cXByjHYHTVxGpag6vpocrG3rxjPC9PxKAArR9/101.png							feff80						trait_type,value												0x45DB714f24f5A313569c41683047f1d49e78Ba07								Space Punk #101	https://collectibles.spacepunks.club/punks/101																										Space Punk																
		https://gateway.pinata.cloud/ipfs/QmUztikFfArMnBJw6qAZj2RRFfXnphGqFEAM9ZfS6nj2gr/junglefreak10.png													trait_type,value												0x7E6Bc952d4b4bD814853301bEe48E99891424de0								Jungle Freak 10																																											
		https://gateway.pinata.cloud/ipfs/QmUztikFfArMnBJw6qAZj2RRFfXnphGqFEAM9ZfS6nj2gr/junglefreak10.png													trait_type,value												0x7E6Bc952d4b4bD814853301bEe48E99891424de0								Jungle Freak 10																																											
		https://gateway.pinata.cloud/ipfs/QmUztikFfArMnBJw6qAZj2RRFfXnphGqFEAM9ZfS6nj2gr/junglefreak100.png													trait_type,value												0x7E6Bc952d4b4bD814853301bEe48E99891424de0								Jungle Freak 100																																											
		https://gateway.pinata.cloud/ipfs/QmY7ZxeYkZ9biPMb4AZT67Viu5nTUsk72VAqiiRyYUPxL9/103.png													trait_type,value												0xE22e1e620dffb03065CD77dB0162249c0c91bf01								#0																											In a post 																
		https://gateway.pinata.cloud/ipfs/QmY7ZxeYkZ9biPMb4AZT67Viu5nTUsk72VAqiiRyYUPxL9/2848.png													trait_type,value												0xE22e1e620dffb03065CD77dB0162249c0c91bf01								#2848																											In a post 																
		https://gateway.pinata.cloud/ipfs/QmY7ZxeYkZ9biPMb4AZT67Viu5nTUsk72VAqiiRyYUPxL9/3695.gif													trait_type,value												0xE22e1e620dffb03065CD77dB0162249c0c91bf01								#3695																											In a post 																
		https://wckd.mypinata.cloud/ipfs/QmWdcZYtv6WPx4AEFproPb181ACSXx3LtghnwZJuwCdd7i													trait_type,value												0x0b35406f0215422Ae1FD33560F11e92799150ad6								Wicked Monster #1																																											
		https://wckd.mypinata.cloud/ipfs/QmaNqF5CutZk14M6UgoooauzxQFy6oiyaL7iEeEipopXVT													trait_type,value												0x0b35406f0215422Ae1FD33560F11e92799150ad6								Wicked Monster #1018																																											
		https://wckd.mypinata.cloud/ipfs/QmYUEzLpuDtgDuU8Mhdk2Qd8vd1NKeUsTbejX9DPAUwbXm													trait_type,value												0x0b35406f0215422Ae1FD33560F11e92799150ad6								Wicked Monster #1019																																											
		http://bnwb8774.odns.fr/metadata/RGGC/1.png													trait_type,value												0xe80B2538f33b15c8070Db18b1A1cD3bb961C34F1								The OG #1																											A place fo																
																											0xe80B2538f33b15c8070Db18b1A1cD3bb961C34F1																																																			
		http://bnwb8774.odns.fr/metadata/RGGC/1015.png													trait_type,value												0xe80B2538f33b15c8070Db18b1A1cD3bb961C34F1								Rich Gator #1015																											A place fo																
		ipfs://QmPKGhdvqT2vPidgtDBko2APoN2sd8bAu99UBFm6DytjJB/153.png													trait_type,value												0xc051aAb77Edf25119b1A37740636DdBfb803C4e5								Rebel Seal #153	https://www.rebelseals.com/																																										
		ipfs://QmPKGhdvqT2vPidgtDBko2APoN2sd8bAu99UBFm6DytjJB/158.png													trait_type,value												0xc051aAb77Edf25119b1A37740636DdBfb803C4e5								Rebel Seal #158	https://www.rebelseals.com/																																										
		ipfs://QmPKGhdvqT2vPidgtDBko2APoN2sd8bAu99UBFm6DytjJB/161.png													trait_type,value												0xc051aAb77Edf25119b1A37740636DdBfb803C4e5								Rebel Seal #161	https://www.rebelseals.com/																																										
		ipfs://bafybeid6xurrtbq5mdejivtsdldpdvx4gvalc4rlv43l53xcqb4v4it37u													trait_type,value												0x8399D6351FD0ddb33f77BFc627E3264D74500d22								ShogunSamurai #102																											An honorab																
		ipfs://bafybeic5bfa6rj6hvj7lg2hoszdzj7gr5w5survdss6fokkqdl3cmyocsq													trait_type,value												0x8399D6351FD0ddb33f77BFc627E3264D74500d22								ShogunSamurai #1023																											An honorab																
		ipfs://bafybeihcrfootrg62xy7pm2aoitwtxnldx3ufmulvoa7nq3gewtiiqq2ay													trait_type,value												0x8399D6351FD0ddb33f77BFc627E3264D74500d22								ShogunSamurai #1024																											An honorab																
		ipfs://QmStXNxGRHvNh6cweBtscYcgjFGNGv1z95nGK3pFKjtdUn/1052.jpg													trait_type,value												0x916325fa4D914f39F0606528b65E6507637f9C37								Bin Kingz #1052	https://binkingz.com																										Bin Kingz 																
		ipfs://QmStXNxGRHvNh6cweBtscYcgjFGNGv1z95nGK3pFKjtdUn/1057.jpg													trait_type,value												0x916325fa4D914f39F0606528b65E6507637f9C37								Bin Kingz #1057	https://binkingz.com																										Bin Kingz 																
																											0x916325fa4D914f39F0606528b65E6507637f9C37																																																			
		https://grailers.io/images/nft-generic.gif																									0x8bb186371D019a190e4Fc01584DD164Ae10063a8								Grailer #1																											Grailers i																
		https://grailers.io/images/nft-generic.gif																									0x8bb186371D019a190e4Fc01584DD164Ae10063a8								Grailer #100																											Grailers i																
		https://grailers.io/images/nft-generic.gif																									0x8bb186371D019a190e4Fc01584DD164Ae10063a8								Grailer #101																											Grailers i																
		ipfs://QmVcbHSvUW52Ktxq4xYiqKcfmiVZS2osbptfen7ZpeS4h5/102.png													trait_type,value												0xB411D36E034D87558C3f96636Dd7F7b62e093A1e								Kyoto #102																											The women 																
		ipfs://QmVcbHSvUW52Ktxq4xYiqKcfmiVZS2osbptfen7ZpeS4h5/107.png													trait_type,value												0xB411D36E034D87558C3f96636Dd7F7b62e093A1e								Kyoto #107																											The women 																
		ipfs://QmVcbHSvUW52Ktxq4xYiqKcfmiVZS2osbptfen7ZpeS4h5/109.png													trait_type,value												0xB411D36E034D87558C3f96636Dd7F7b62e093A1e								Kyoto #109																											The women 																
		https://ipfs.io/ipfs/QmNshj3dJWnz5goGhFEFvEBARiKPtyZB92BNqs7WtpRHjL/1005.png													trait_type,value												0x518bA36F1ca6DfE3Bb1B098B8dD0444030e79D9f								Wonky Stonk #1005																											Wonky Ston																
		https://ipfs.io/ipfs/QmNshj3dJWnz5goGhFEFvEBARiKPtyZB92BNqs7WtpRHjL/1005.png													trait_type,value												0x518bA36F1ca6DfE3Bb1B098B8dD0444030e79D9f								Wonky Stonk #1005																											Wonky Ston																
		https://ipfs.io/ipfs/QmNshj3dJWnz5goGhFEFvEBARiKPtyZB92BNqs7WtpRHjL/1007.png													trait_type,value												0x518bA36F1ca6DfE3Bb1B098B8dD0444030e79D9f								Wonky Stonk #1007																											Wonky Ston																
